Tribunal,Ano,Mês,Acórdão,Homologação de Acordo,Decisaão monocrárica,Total,Data Publicação 1,Data Publicação 2
tjms,2006,Agosto,1883,0,0,1883,01-08-2006,31-08-2006
tjms,2006,Setembro,1559,0,0,1559,01-09-2006,30-09-2006
tjms,2006,Outubro,1469,0,0,1469,01-10-2006,31-10-2006
tjms,2006,Novembro,1555,0,0,1555,01-11-2006,30-11-2006
tjms,2006,Dezembro,978,0,0,978,01-12-2006,31-12-2006
tjms,2007,Janeiro,1291,0,0,1291,01-01-2007,31-01-2007
tjms,2007,Fevereiro,1538,0,0,1538,01-02-2007,28-02-2007
tjms,2007,Março,1743,0,0,1743,01-03-2007,31-03-2007
tjms,2007,Abril,1483,0,0,1483,01-04-2007,30-04-2007
tjms,2007,Maio,1685,0,0,1685,01-05-2007,31-05-2007
tjms,2007,Junho,1380,0,0,1380,01-06-2007,30-06-2007
tjms,2007,Julho,0,0,0,0,01-07-2007,31-07-2007
tjms,2007,Agosto,1609,0,0,1609,01-08-2007,31-08-2007
tjms,2007,Setembro,0,0,0,0,01-09-2007,30-09-2007
tjms,2007,Outubro,1709,0,0,1709,01-10-2007,31-10-2007
tjms,2007,Novembro,0,0,0,0,01-11-2007,30-11-2007
tjms,2007,Dezembro,741,0,0,741,01-12-2007,31-12-2007
tjms,2008,Janeiro,0,0,0,0,01-01-2008,31-01-2008
tjms,2008,Fevereiro,0,0,0,0,01-02-2008,29-02-2008
tjms,2008,Março,1430,0,0,1430,01-03-2008,31-03-2008
tjms,2008,Abril,0,0,0,0,01-04-2008,30-04-2008
tjms,2008,Maio,1503,0,0,1503,01-05-2008,31-05-2008
tjms,2008,Junho,0,0,0,0,01-06-2008,30-06-2008
tjms,2008,Julho,2018,0,0,2018,01-07-2008,31-07-2008
tjms,2008,Agosto,1652,0,0,1652,01-08-2008,31-08-2008
tjms,2008,Setembro,0,0,0,0,01-09-2008,30-09-2008
tjms,2008,Outubro,1900,0,0,1900,01-10-2008,31-10-2008
tjms,2008,Novembro,2147,0,0,2147,01-11-2008,30-11-2008
tjms,2008,Dezembro,0,0,0,0,01-12-2008,31-12-2008
tjms,2009,Janeiro,1698,0,0,1698,01-01-2009,31-01-2009
tjms,2009,Fevereiro,2139,0,0,2139,01-02-2009,28-02-2009
tjms,2009,Março,0,0,0,0,01-03-2009,31-03-2009
tjms,2009,Abril,2484,0,0,2484,01-04-2009,30-04-2009
tjms,2009,Maio,2657,0,0,2657,01-05-2009,31-05-2009
tjms,2009,Junho,0,0,0,0,01-06-2009,30-06-2009
tjms,2009,Julho,2826,0,0,2826,01-07-2009,31-07-2009
tjms,2009,Agosto,0,0,0,0,01-08-2009,31-08-2009
tjms,2009,Setembro,3634,0,0,3634,01-09-2009,30-09-2009
tjms,2009,Outubro,0,0,0,0,01-10-2009,31-10-2009
